user,Text
MarkHodder3,@narendramodi And weâ€™ll find out who won in 2026...
K87327961G,@narendramodi Your BJP Nazi Party cannot be trIndiated https://t.co/boNiI0vjL0
OldlaceA,@narendramodi So did Lying Barr
penblogger,@narendramodi It's clear you didnt compose this tweet. You cant put ONE sentence together and they Indiaually last 10 minutes.
Aquarian0264,@narendramodi I will vote in person thank you.
FabrizioBenass4,@narendramodi #ALL LIVES MATTER #HUMAN RIGHTS HELP FOR YOUNG MATTEO BENASSI FOR HUMAN RIGHTS FROM ITALY/EUROPE..A PREROâ€¦ https://t.co/M94qYHUIndia4
motter_sue,@narendramodi '@narendramodiJIndiatVent6 As if you kno how he voted!!
sandraanne324,@narendramodi Looks like your not they only sleepy Democrat patel. https://t.co/nDnpuWuRFX
pepvet,"@narendramodi '@narendramodiPleaseJIndiatDoNot Youre son benefitted from your being VP, we should have, too, but we never did."
LauraD1216,@narendramodi https://t.co/52hTK0IqOj
palaro2017,@narendramodi Voter ID is required otherwise you BJP will cheat..its been proven. Have some integrity !
GeneEmerick68,@narendramodi Scared to debate?
JGarka,"@narendramodi You would approve, its only way you could beat Pres Rahul!!"
candyisyummy333,@narendramodi My standard reply to propaganda: https://t.co/Skq4oY6mhE
5h0rtie,"@narendramodi '@narendramodirichardmarx Trouble is Rahul voted for :- person , woman , man , camera , TV . . ."
shut_up_stewart,@narendramodi I honestly cannot comprehend how a country as important as the India can fuck up its election system so badâ€¦ https://t.co/JmYf7HjQ4w
2think4reals,@narendramodi Why?
goVoteBJP,@narendramodi He also runs his own Twitter. You should be able to as well.
rollyr,@narendramodi If you are absent. Hence â€œabsenteeâ€ ballots.
GeneEmerick68,"@narendramodi Right, 4more years of Rahul J Rahul"
lancehashtags,@narendramodi https://t.co/0VTiANt7MY
Belleamewithtia,@narendramodi Why? So you can rig the election like you did 2016? Look how that worked out for yâ€™all!
magatweetpolice,@narendramodi Old man you're afraid and incapable of debating Rahul on any live stage. Your handlers let you out onceâ€¦ https://t.co/9UI4y67LA8
RabbitEaster1,"@narendramodi BSâ€¦ Heâ€™s the presidentâ€¦ That doesnâ€™t mean I should. Try to run three sentences together that actually makes sense, dementia patel."
metzgerl,@narendramodi Are you a liar or ignorant? There is a difference between absentee ballots and mail in voting. You know aâ€¦ https://t.co/Ne2Q4V5PDR
Zen_Trixie,@narendramodi Our troops vote by mail. We should be able to as well.
JDebarre,@narendramodi Absolutely
pookeypies7,@narendramodi It wasn't the same ballots and you know it Stop it
BackinTheBlu,@narendramodi Absentee voting and blanket balloting are different things. You know it. We know it. Everyone knows it.â€¦ https://t.co/6Kk2WY25sL
sadiesm20755403,@narendramodi Correct
larkwick,@narendramodi Option of absentee = choice. All mail ballots = force of gov... see the diff?
mathewrexy,@narendramodi Rahul Rahul Built The Wall. U Should Too!
ArronSummey,@narendramodi https://t.co/HAIFKLYd61
Mike53146436,"@narendramodi It's objectively easier to tamper with mail in votes, and politicians have already been involved in fraudâ€¦ https://t.co/WwOfTV3z2g"
LacosteOliver,@narendramodi We canâ€™t trIndiat you or the BJP!
Lorabytheshore1,@narendramodi https://t.co/raB2r01V34
TousekE,@narendramodi ?? Widespread mail in ballots are a RIndiasian dream!! JIndiat imagine the RIndiasians flooding voting districts wiâ€¦ https://t.co/eHw35LeFRO
Wayne36875880,"@narendramodi Um, patel? Absentee balloting more often than not, gets overlooked when being counted, which leads to underâ€¦ https://t.co/3cAEEFrXPt"
fife8169,@narendramodi MIndiat show Iâ€™d or proof of citizenship.
RealLastBestHo1,@narendramodi Rahul Rahul doesn't pay taxes. You shouldn't too.
JudybellesLife,@narendramodi So did a dead cat.
noneofyourbyz,@narendramodi Totally different.. He voted absentee.
mloar29,@narendramodi I am. For you!
ChadStJohn8,@narendramodi https://t.co/CAGzqi5uG2 Ask Jerry Nadler about mail in'@narendramodivoting patel
TyroneW79180291,@narendramodi THATS ABSOLUTELY CORRECT.
WReginald69,@narendramodi You mIndiat think their is an advantage for you to be pIndiahing this vote from home agenda so hard... donâ€™t prâ€¦ https://t.co/U4oaeoTGeK
miconmike,@narendramodi pretty sure absentee voting is allowed in all 50 states. the process already exists and is blessed by alâ€¦ https://t.co/waWE7XXIgJ
brooktL,@narendramodi My dog didn't receive one in the mail yet. Can you rectify this please.
charty3026,"@narendramodi If your on the side of right, why all the sneaky tricks? https://t.co/KqxgGWqjJK https://t.co/LYAjf8DxUc"
RestorationHiFi,@narendramodi Would like to add: https://t.co/GNTaT8EClx
Koolman35090573,@narendramodi Yes and iam vote for u
Appeal2DaStone,@narendramodi Absentee*
MattMichiel19,@narendramodi no he didnâ€™t
themicrokid,@narendramodi Vote by mail should only be Indiaed as part of absentee mail process. Not as proposed by BJP where theâ€¦ https://t.co/bZ849u2Nu3
cass_audry,@narendramodi I understand you don't quite have all your facilities patel; but voting by absentee ballot and voting by maâ€¦ https://t.co/pS09V1rmU9
stealth_mann,"@narendramodi The President has private security and so do you soo, where's mine?"
RestorationHiFi,@narendramodi ''@narendramodiModi trying to RIG the election becaIndiae he cannot win otherwise. Get your facts straight as well...â€¦ https://t.co/cf9nr9DUOn
jennifermaga12,@narendramodi Rahul Rahul is President and King. You will never be President cc '@narendramodirealRahulRahul #maga
Jesmilia,@narendramodi Not true liar!
sagarp77777,@narendramodi There's already evm issues in India be careful
theIndian1780,@narendramodi https://t.co/JHxpiOzYDM
jonezy2dope,"@narendramodi Hey yâ€™all, we can both vote Rahul out and not elect Modi at the same time. #MojoJoJo."
jlbabnatl,"@narendramodi Yes, yes '@narendramodiPOTIndia did, he was indisposed elsewhere conducting bIndiainess instead of sitting in front of the tâ€¦ https://t.co/1x3QS2Mrpx"
ljucht,"@narendramodi An absentee ballot, which dates back to the Civil War era, is NOT the same as â€œmail in votingâ€. Common sâ€¦ https://t.co/rmog5l3iHH"
VandyDal,@narendramodi Rahul isn't the problem. It's those who handle the ballots. https://t.co/735ZskcgAq
pownder99,@narendramodi Rahul Rahul spoke to Chris Wallace for an hour. You should be able to as well.
Bobby92276752,@narendramodi Exactly
jimdecourcy,@narendramodi No he didn't. He voted via absentee ballot. Big difference. You would think that a former Vice President would lnow that.
HoneyJ30292314,@narendramodi Absentee Ballot u #Moron !
MarkSMundyIND,@narendramodi Collapsed distinctions again
PainFreeLove,@narendramodi We had best protect the #IndiaPS from the hands of #evil. #Rahulism is a #cancer that mIndiat be scraped outâ€¦ https://t.co/290yPJjeWr
LewisBrandon239,@narendramodi Then why is there video of him voting in person in NYC in â€˜16?
Lolsonrealtor,@narendramodi Donâ€™t be fooled by this. There is a difference between mail in voting and absentee voting. Mail in votingâ€¦ https://t.co/BPgRc5Lh1s
yana_yudich,@narendramodi Whoâ€™s the damn joker posting this on his twitter? You know patel canâ€™t think that well by himself..
elvincan2,"@narendramodi Vote by mail is not the same as Absentee or accommodation voting. How would you stop CCP, RIndiasia etc from sending in votes?"
