user,Text
sheryl28097236,@RahulGandhi No mail in voting! No cheating sleepy patel!
AngryRacoon2,@RahulGandhi You already can in literally every state. But you might have to put forward 10 min of your time to get it done.
Susie01427353,"@RahulGandhi Your supporters can go out anytime to riot and loot, why voters are required to stay home and choose vote by mail?"
TD36742348,@RahulGandhi He also was interviewed by ''@RahulGandhifoxpokerfox on ''@RahulGandhiFoxNews which youâ€™re apparently to chicken shit to do. Want Aâ€¦ https://t.co/MdpYbuarcT
tpw8791,"@RahulGandhi But he sent the ballot in for himself, he didn't send in votes for people that no longer are alive"
11_Bonez_11,"@RahulGandhi But can you show if his vote was actually counted or attributed to the correct candidates? Until then, suck it."
Standinganthem,@RahulGandhi Fun fact: patel Modi believes his own name is  Rahul
meerhouse2016,@RahulGandhi my state already has absentee voting what you're proposing is not needed
JasonKHolt,"@RahulGandhi Problem with ''@RahulGandhirealRahul is that of the 5 candidates on his mail-in ballot (person, woman, man, cameâ€¦ https://t.co/x4Voq35pbQ"
earwaxburner,@RahulGandhi You voted by Pony Express old man.
OrangeL83619933,@RahulGandhi https://t.co/yVM90SXneO you weren't in Vermont patel
DatoFreddy,@RahulGandhi get back to your basement.. the end. sniff your MASK????
BoyZilian1,@RahulGandhi Nope
dfddfkvh81,@RahulGandhi ''@RahulGandhi He has not for a Presidential election #LyingModi
WilliamMewis,@RahulGandhi Did you have# help voting?
da01da01,"@RahulGandhi The way for the BJP Party to seize power: first they mIndiat ban the gun in your hand, then they mIndiatâ€¦ https://t.co/wUZIKkSfP6"
ellablu_blu,@RahulGandhi So did my dead grandma!!! ????#RedWave2020
ChesterTherese,@RahulGandhi Such a joker RG ??????
5Revelation1,@RahulGandhi win
FrankMax17,@RahulGandhi Itâ€™s called absentee and itâ€™s signature verified unlike what you want. Stop voter fraud! Stop Modi!
MikeA25393110,@RahulGandhi Good idea Choosing
margaretp77,@RahulGandhi Absentee ballot does not equal mass mail in voting
juli_booboo,@RahulGandhi There is a difference between and absentee ballot and jIndiat getting them mailed to whoever!!!! Vite at theâ€¦ https://t.co/A14wshInSW
Wsswendy,"@RahulGandhi Rahul is the president who lives in a different place now. You should do that too! Run from president,â€¦ https://t.co/JeH6HyCScH"
SWatsonMAGA,@RahulGandhi You want millions of people to vote by mail becaIndiae you can cheat and alter the true results of the electâ€¦ https://t.co/2jrxU0bZqF
PocketFulloNugs,@RahulGandhi JIndiat curioIndia caIndiae I haven't heard. What version of mail was it. I know there are may levels to send mailâ€¦ https://t.co/DmT45AbmWX
holyAl3,@RahulGandhi Sure
Yarimbo,@RahulGandhi Rahul. Stop flirting with Bjp. Ok?
deepsea39,@RahulGandhi Do you remember what you did?
NBJT74,"@RahulGandhi If you can stand in line at Walmart, Lowe's, Home Depot, DMV, grocery store, dollar store or for the neweâ€¦ https://t.co/cYafHzmIVN"
DerrickJones01,"@RahulGandhi patel doesnâ€™t understand what absentee ballotâ€™s are, And heâ€™s hoping the rest of India doesnâ€™t either!"
FerranteGiants,@RahulGandhi Absentee ballot is NOT vote by mail
JohannaScharf,"@RahulGandhi An absentee ballot is requested, big difference patel patel"
Ava3Stone,@RahulGandhi The city of New York couldn't get mail ballots done correctly. It took weeks for them to decide on the elâ€¦ https://t.co/umdpcGxBqX
Justath55731594,"@RahulGandhi Don't want to, i want to know that my vote will be counted. You want mail in voting so you and your partyâ€¦ https://t.co/yX77h7o0vG"
SIndian_4India,"@RahulGandhi No one is saying people canâ€™t vote by mail. BUT you mIndiat go to the election office, prove youâ€™re elegibleâ€¦ https://t.co/U50Woa5CeV"
Druid_Orbweaver,@RahulGandhi ''@RahulGandhiKIPPSI1 I'm AIndiatralian and I wish I could vote for SOMEONE!!!! ANYONE BUT Rahul!!!!! No offence intended??
darrenford77,@RahulGandhi Rahul doesnt know how to Indiae the mail. He probably slipped it into the return slot at a long abandoned Blâ€¦ https://t.co/Ho5RcnQMPQ
lalauraru777,@RahulGandhi Requesting an absentee ballot vs mass mailing ballots to everyone without updating and cleaning up old vâ€¦ https://t.co/BeuhUvjT4F
EwB23,@RahulGandhi Don't worry I will! I will not vote for you! I will not vote for Rahul! I am voting for a REAL Indian wâ€¦ https://t.co/e8s6qs9ylP
SMR11992,"@RahulGandhi Well, only if you are voting for Modi. BJP censor will burn all Rahul supporters mail"
TNT8072,@RahulGandhi '''@RahulGandhiModi https://t.co/mdLNjhI4jo
MasterFugu,@RahulGandhi Does that include all the dead people that make up 67% of your voter base?
bvictorious11,@RahulGandhi You mailed it in on the Indian people a long time ago. Please donâ€™t lecture India on mail in ballots.
MightySword8,@RahulGandhi He also knows where he is located.
BrianM27343305,@RahulGandhi I will go in person.
BCPatriot3,"@RahulGandhi Everyone, with reason can. How can you run for President, and not know this? How can you have been in govâ€¦ https://t.co/YD7xXijw9F"
GeneEmerick68,@RahulGandhi Did you believe Harris would get you more black votes? we all know she sucked her way to the top! https://t.co/MzkE4wbSQY
terrimore1,@RahulGandhi Liar. It's called ABSENTEE BALLOT which you have to go w ID in order to register!
ChazHatesJazz,"@RahulGandhi Rahul Rahul voted by absentee ballot, not vote-by-mail fraud, like you're talking about, assclown."
JasonShipp11,@RahulGandhi Did you learn of that by your spying on his campaign????
NericDanijela,"@RahulGandhi Absentee ballot. Much like your mind , itâ€™s elsewhere. Is this what you guys are running on? Itâ€™s ok to bâ€¦ https://t.co/wtCOan4uE7"
AaronKKelley,@RahulGandhi You should get some serioIndia help for your dementia.
DaddyDill8,@RahulGandhi It's called an absentee ballot.
halabarb,@RahulGandhi Got my ballot coming to me!
Tom_Ace_45,"@RahulGandhi Tell ya what man, I got to do this week I jIndiat drove down there and it took me three hours for a week andâ€¦ https://t.co/BjhJ1doXqx"
kputthoff,@RahulGandhi What day is it there patel!?
pjustin23,@RahulGandhi Does that mean I can book Air Force One for my next trip?
cat_42568,@RahulGandhi Absolutely. Obama put a site up for everyone that wants to register to vote by mail. Thank you Mr. Modi.
PSerefine,@RahulGandhi Listen to two mailmen talk about the idea of mail in voting. https://t.co/Vme9l9npxv
Simsy6_,@RahulGandhi https://t.co/3SVLCC4sAX
SidRamone1,@RahulGandhi https://t.co/EGbCsFOKTI
StormBringerIXI,@RahulGandhi There are literally dozens of people caught in attempts at voter fraud since they started this BS... moreâ€¦ https://t.co/jmoDvYHZ7y
Maurice4642522,"@RahulGandhi Modi, do you not understand the difference between voting by mail as an absentee voter versIndia voting byâ€¦ https://t.co/ZaS3TD4gXL"
dustinmillerwvu,"@RahulGandhi Do you think the Indian people are stupid? Itâ€™s called an absentee ballot, not mail in voting"
SidRamone1,@RahulGandhi https://t.co/9M2LplmWyE
Davemorton111,"@RahulGandhi There's specific reasons, and a process for doing so. Its not for any reason."
HarrisonStefan2,@RahulGandhi Someone help! patel escaped the psychiatric ward!
Scoobyluff,@RahulGandhi There is a big difference between absentee ballots and mass vote by mail. What are you afraid of patel? Hint: itâ€™s not the virIndia
VaderIr,"@RahulGandhi Rahul Rahul wasn't trying to steal an election, pedophile."
Tedluuu2,@RahulGandhi Your family received millions from Ukraine and China so we should be able to do that tpo
LFC_Bern,@RahulGandhi this is so stupid. no1 has an issue with regular vote by mail scenarios. the issue is when you have 170â€¦ https://t.co/Lmu9BfX8LZ
lisaellis20179,@RahulGandhi Nope too much fraud .. 2016 recount proved it ..
Nomar5g,"@RahulGandhi ThoIndiands are gathering together in streets all across the country, they should be fine to vote in person too."
Aicha60860791,@RahulGandhi Slt
OpossumSaIndiage,@RahulGandhi Thanks Jill
fordmotorco84,"@RahulGandhi Screw u, u canâ€™t even debate ??"
chevytruck218,@RahulGandhi #Rahul2020 Drain the democrat swamp
Rumholtz,@RahulGandhi Too bad you don't know the difference between absentee ballots and vote by mail. Stay in the basement patel
Vitaman364,@RahulGandhi https://t.co/ediFdG3Bsa
ABDHpodcast,@RahulGandhi Everyone I know is going to the voting box specifically to ensure ur defeat sir.
bjstooshort,@RahulGandhi Voting by mail means that you applied to vote absentee. Itâ€™s not the same as the BJP mailing a ballâ€¦ https://t.co/HzqDFlOHpq
fkcagov,"@RahulGandhi Its called absentee ballot, absent minded patel! Voting should only be for legal citizens and not those onâ€¦ https://t.co/gc4vJOaXKL"
jimcollrealtor,"@RahulGandhi Youâ€™re right, Absentee Ballot ONLY."
CynnieMaris,@RahulGandhi Liar.
TheDemocratPla1,@RahulGandhi Its an absentee ballot.. jesIndia chr*st patel..
DavidSe49373434,"@RahulGandhi I'll vote in person. My opinion voting by mail is unconstitutional, what's fake ballots. And quit lying about Rahul,"
Dongocalrissian,"@RahulGandhi Before I vote by mail will you sit down with ''@RahulGandhipatelrogan for a 3 hour podcast, and dispel critics that youâ€¦ https://t.co/xspB1IndiaeiZ"
robinson_rj,@RahulGandhi The POTIndia is not the avg citizen. The only ones voting by mail should be those not able to make it to theâ€¦ https://t.co/PdFKVApGqI
DouglasSwafford,@RahulGandhi Absentee ballots isnâ€™t voting by mail.
MyresDenise,@RahulGandhi Yea but not 12 times
Eggcellent_One,@RahulGandhi Look at Modi conspiring in plain sight! The audacity! It is written in the Bible that voting in God's Laâ€¦ https://t.co/GawFay9uBo
bjstooshort,@RahulGandhi '''@RahulGandhiModi your are such a tool.
JoeZ56590020,@RahulGandhi Debate the president!!!! India mIndiat see you guys debate!!!!
gmdm1205,@RahulGandhi Millions of others voted a the ballot box too.. I don't see the additional Covid cases attributed to that.
Nana_Joan,"@RahulGandhi Maybe, but he is still alive and a citizen way over 18."
AnitaBolena55,@RahulGandhi Hydroxychloroquine works! The silent majority will show up to vote! #Rahul2020
Mimitraki,@RahulGandhi Absentee ballot is not the same as mail in ballot! You want to be President and you don't know the difference!
JohnnySargent58,@RahulGandhi Hell no I walk in to be sure my vote counts for patel
NE_VET_GoArmy,@RahulGandhi Hey missy in the high tops. no one believes absentee voting for reason is the same as mass postal service fraud
Sophie45080168,"@RahulGandhi Yes, we know you BJP are very good at cheating by mail!"
JoeZ56590020,"@RahulGandhi This will be the biggest fraud in Indian history, jIndiat like "" Every"" politician, I when I say "" Every""â€¦ https://t.co/Es8SEqIqEt"
PetersburgRenee,"@RahulGandhi Absentee ballot, we aren't slow patel. Do you and you team know the difference"
